Provinces,August,September,October,November,December,January
North Cotabato,224.3067731,257.7011281,252.6947268,194.4201419,170.9067338,134.1894728
Northern Samar,212.6085911,268.6263497,398.1282464,466.9144791,579.5597482,432.997355
Nueva Ecija,418.3380963,342.1517184,245.6617981,154.0505382,80.66033091,27.69029107
Nueva Vizcaya,377.753223,323.3188659,285.4456882,202.6213995,131.4037286,43.74095114
Occidental Mindoro,588.8526382,419.3985163,306.1760044,175.3905008,107.5563506,36.82564898
Oriental Mindoro,392.4678711,318.4381779,318.799621,221.4958873,137.9126548,70.02179268
Palawan,349.9860912,327.1422824,269.8220518,218.215487,180.8239722,53.83069751
Pampanga,553.0374791,377.8978476,204.8126573,103.671072,48.00385536,8.190184535
Pangasinan,607.0293971,352.8305874,222.362631,53.6410299,23.72165947,3.868250807
Quezon,226.6647644,306.7416899,416.5624158,382.0291047,381.7066584,136.9394018
Quirino,286.0583757,339.3928457,362.9653622,343.4632027,226.1690197,84.21132005
Rizal,437.7060578,416.5544414,329.7780319,274.0600525,224.1436995,55.55537877
Romblon,312.049964,258.7183603,348.7169389,234.2724259,174.6100822,88.33356154
Samar,240.1198908,265.3717704,353.702123,411.548598,514.0494837,375.7134336
Sarangani,156.4299568,147.9951542,176.9109126,160.1009002,135.9067248,125.7047433
Shariff Kabunsuan,257.7299992,280.9846595,291.6685214,220.6296154,160.4198285,113.2787575
Siquijor,144.0065437,126.8310239,177.1887805,183.3662,130.2413523,116.5102146
Sorsogon,201.6452455,272.4891856,362.5438672,357.3500401,457.5274354,299.0893711
South Cotabato,192.4281542,185.8953769,182.1912652,144.4178268,117.3194759,106.9180944
Southern Leyte,224.0838818,225.5700744,289.7435118,345.2054417,465.1686641,429.0012319
Sultan Kudarat,235.9399794,227.8549741,241.0898936,193.5857907,129.7150875,108.9494724
Sulu,134.9001336,160.2082371,217.2362829,179.336023,140.8721689,111.3001886
Surigao del Norte,181.1864893,187.7422148,244.0519852,357.4679387,515.5269598,543.7465283
Surigao del Sur,233.1806666,216.9304274,240.0437932,347.1320438,564.7840402,602.2891175
Tarlac,584.4031339,390.6238323,215.0106976,63.77865565,19.33722559,3.652400372
Tawi-Tawi,120.8972946,143.5754634,190.1843986,186.197813,205.5094186,139.552166
Zambales,787.6727844,446.2726357,254.7961449,70.63829558,29.65949429,2.715542373
Zamboanga del Norte,304.4401456,255.2569959,338.8450289,286.8479239,219.0643348,125.8268239
Zamboanga del Sur,309.8098118,282.0369555,317.3263245,252.5323038,206.0601439,132.4091601
Zamboanga Sibugay,321.725972,272.6809156,305.3820992,228.0160689,187.8466373,126.3533322
